username,text,public
@edwardr85,There making it tooo complicated for the gays out here even I don’t understand half of it.,TRUE
@deepi1235,"Being Gay also I support young americans. Its common sense if you sing lgbt songs all time to young children they will get irritated and logically become homophobic. Nothing can be done here. 

Just acceptance is enough. Today pride parades, tomorrow rainbow everywhere and then propaganda alltime.",TRUE
@Breakout-vk7qy,I’m freaking tired of this lbgtq society it’s dumb and it’s ruining religion,TRUE
@TheBestDealsIl,Lgbtq should be ashamed of themselves,TRUE
@devionewilkins8903,"I don’t care what you do with your life, but please leave us out of it. I love y’all to death, but this is too much. Everyone struggles with their own sins, but there is something about this sin that people really get mixed feelings about. This part may sound messed up but: Influencing others to be gay isn’t the way to go. You got people trying new things and brainwashing them. Those demonic spirits in them travel. People don’t realize that. It’s happening to straight men and woman. The women it’s affecting definitely. And let me say this to others: Not every dude is cool with their girl being bisexual. Especially in these times. All I can do is pray 🙏🏿",TRUE
@fieder4280,You can’t make up a whole new way of living pull it out of your ass and expect the world to go along with it. That’s not how it works.,TRUE
@blablabla690,Really uncomfortable.,TRUE
@becky2235,"The world is falling apart people are suffering, dying and starving living in poverty if youre gay fab hope youre happy im bi too but cant we address more pressing matters?",TRUE
@alexanderrawrs02,"Honestly I don't care what people are attracted go or call themselves, but when they force others into it especially children then I have a issue",TRUE
@user-bj3fl6ix6z,Its not that we dont understand the spectrum but just tired of trying to be forced to adopt their ideology,TRUE
@Fairandlovelyed,"Good, it’s about time.",TRUE
@user-le9uv3yt2z,ITS A GOOD THING !,TRUE
@lxols_,"""sToP SHovING uR IdeAs dOwN OuR tHroaTs"" well maybe if u homophobes stop shoving that ur a hetero bigot down our throats, this wouldnt be an issue",TRUE
@Br0chach0e,"I'm uncomfortable around them myself sometimes, but, it is safe to say I stay in my own lane, because honestly I'm not gay so I really don't care 😂",TRUE
@user-oh9fe6fx8z,"Pride, just one of the 7 deadly sins... including; lust, greed, envy, wrath, gluttony, sloth.... yep the lbgtq has it all... GOD has his people and the demonics have the lgbtq debaucherist's, they only use the Rainbow and the bible to defile GOD's word.... they are the demonics, the soulless, lost, whose mission is to attack Christianity... The wickedness of those who only desires are of the flesh, drugs and personal defilement... praise GOD for making them so easy to decern as pure evil.... it's not hate, it's a line in the sand to the debaucherous lost and those who are attacking JESUS and our children, they must be subdued....",TRUE
@Blacksadcat436,It is sad that society used to be a better place is no longer the place you knew 😢,TRUE
@retrowolf3456,"I stand against this movement for it scaring the children of our country for life, infecting every piece of media, games, movies, tv shows and music",TRUE
@xiaozihuangyt3439,Finally people with senses,TRUE
@michaelcovelesky5701,"The collapse of the U.S currency & then the collapse of our institutions will take away the power given to social justice obsessed old people, women, and gays. This ilk of people running our institutions have way too much power over young men. The day society collapses the police can no longer arrest mainly young men for defending themselves or retaliating in any form. Hopefully the video is correct more people are getting uncomfortable with the LGBT movement. A country that embraces depravity will eventually collapse and cause so much damage for the development of people.",TRUE
@AJDraws,"The discourse now is proof of how people will rebel if you keep forcing thing onto them. Instead of being about acceptance and equality, it become 'listen to us or we will ruin your life'. Policing speech and forcing doctrines into child entertainment and media, trying to cancel anyone who has different views, cyberbullying people who just want to enjoy the games and content they want to enjoy, and just relegating EVERYONE who isn't onboard 100% as a -phobe or a bigot. Way to make allies. Love who you want to love. Unless it's with someone who is not comfortable with it, or of inappropriate age, no one cares. But don't scream at others and wave your flag in their faces if they don't approve of what you are about. People have every right not to want to be an 'ally' nor do they have to forgo everything they know about science, biology and nature to appease you. No one owes anything to people they don't know. Be yourself and let others be themselves, whether they agree with you or not. THAT is equality and acceptance.",TRUE
@mariastevens6406,"Aaaand once again, TIME lies it's arse off.",TRUE
@talenstout8324,"Respect is a choice and freedom of speech. This problem started this year, and it’s easily solved by science.",TRUE
@Anton2046gfkn,Theyre annoying as hell and try to force everyone to join them.,TRUE
@alfarelsihotang1249,"Alright im gonna spit out my words.

LGBTQ is a F___ing nightmare to both me and my siblings, this dead__s community is the main reason why our population is decreasing. Not to mention they had an LGBTQ school
*FOR*
*KINDER*
*GAUDENER!*
. Not to mention nowadays most ships are 80% LGBTQ s__t. Yeah im homophobic, so what?. Am i not allowed to be prowed to be one?.
Not just ships, ill list them!
- Having more then 100 Genders
-Ruining movies and videos
-causing people to become one with the community
*And most importantly*

-IT STARTED IN ROME AGE-

-sigh-
Please... Just why..
Why did they have to traumatize kids bro....














Humanity is fallen...
The end... Is near....
There shall no longer be a singlelur person left in this planet....",TRUE
@rr7firefly,"People who live inside the LGBTetc bubble often see it as the ONLY reality and carry on with an unhealthy amount of ""in-you-face"" swagger. This is especially true of men who dress like female whores (with extreme makeup and over-sexualized clothing). There are plenty of gay and trans people who look at themselves not as equal to everyone else but as superior, having a secret language of sorts, inside jokes, special interests. They have chosen to be as different as possible and sadly do not see how they have added to their isolation.",TRUE
@CountofHazelview,GOOOD!!!!! Finally young people are waking up to fight the tyranny of the Left!!!!,TRUE
@mcawesomest1,"I’m tired of being called names verbally abused and coddling adults because someone has made who turns them on their sole identity.   The narcissism is so thick that it’s the super special hat, medal or badge that they carry with them everywhere that makes them exhausting to be around.",TRUE
@laxmangoud8504,China entered in us market with fake food,TRUE
@DavidandClara,"In the past year the majority of harassment, hateful comments - telling me to kill myself, unfair treatment- came from other LGBT people. I can’t defend a community that won’t take accountability.",TRUE
@tbone541,"Screw the lgbtq movement, it's ruining American",TRUE
@tbone541,"I can except a man borne with a penis and testicals. I can accept a women that's born with mamory glands, a vagina and a uterus... It's pretty simple",TRUE
@themeadowlarkminutewithpau8184,"Stop promoting your nonsense on children. 

Stop allowing yourselves to be used to promote a communist agenda. 

Realize that no matter how you feel, most people think gays are mentally unwell, dysfunctional and weird. Many won’t admit it, but it’s true. They don’t think you’re normal or you were 100% born gay. Be glad you don’t get jailed or thrown off rooftops. 

Be glad that we tolerate you, unlike most of the world. 

Annoying the shit out of people hurts your cause.",TRUE
@ruthie8785,Don't read the comments.,TRUE
@HappyguyFun-xt6gr,I hate lgbt,TRUE
@cian.o,I just see these weird memes about how if you like something or play as a girl in a video game that means your trans and I find that behavior really uncomfortable.,TRUE
@certifiedgodlover194,being a normal human being is extremely rare nowadays,TRUE
@davidpar2,"The “community” didn’t exactly do itself any favors with the “drag shows for kids,” sexually explicit materials in grade school classrooms, and other child grooming practices, either...",TRUE
@pete.t966,"I think is Whole world, not only in America",TRUE
@dafay4746,"I mean, do I feel comfortable around people who dresses like clowns and snaps at you when you dont respect their pronouns?",TRUE
@paganelli4483,"Lgtq are specialists in creating hate and division, its a political scum, 90% of the affiliates are victims too.",TRUE
@victoriaman117,This was 4 years ago!!! Think of how much more intense all of this is now in 2023!,TRUE
@early2kbabyponyadd986,"I'm ngl I'm not just uncomfortable with the lgbtq I'm down right confused and honestly exhausted by all the bs propagated by the movement. I'm excepting of the LG, B's I feel like are too greedy and should be made to wear condoms so they don't spread anything harmful, The T's are becoming too delusional in some of their thought processes ik you view yourself as a woman and paid to have the surgery but telling natural born women that they cannot privatize a period is like me telling apple they can't privatize IPhones. Also I find it funny that most of media only reports the problems trans women are experiencing and neglecting trans men. The Q's I am fully confused on for 1. I always was under the impression that queer was a derogatory term for gay people then it became a category with like 100 sub categories. 2. What is queer mean if not gay? 3. Is non binary apart of queer or is that in the plus section of the community? It's like...too much and honestly the community just needs to go back to the first 3 or 4 letters and just let people choose their own labels later",TRUE
@andybray9791,Heteronormativity helps society just not communists,TRUE
